city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,id
Flowery Branch,Flowery Branch,GA,Georgia,13139,Hall,34.1713,-83.9142,1840013611
St. Joseph,St. Joseph,MI,Michigan,26021,Berrien,42.0967,-86.485,1840003213
Holly,Holly,MI,Michigan,26125,Oakland,42.7987,-83.6235,1840011056
Quincy,Quincy,WA,Washington,53025,Grant,47.2344,-119.8531,1840019818
Larkfield-Wikiup,Larkfield-Wikiup,CA,California,6097,Sonoma,38.513,-122.7536,1840074293
Frostproof,Frostproof,FL,Florida,12105,Polk,27.7493,-81.5252,1840014135
Dalhart,Dalhart,TX,Texas,48111,Dallam,36.0579,-102.5123,1840019052
Garrison,Garrison,MD,Maryland,24005,Baltimore,39.4023,-76.7514,1840005691
Gonzales,Gonzales,CA,California,6053,Monterey,36.506,-121.4429,1840020355
Orosi,Orosi,CA,California,6107,Tulare,36.5434,-119.2903,1840019035
Runnemede,Runnemede,NJ,New Jersey,34007,Camden,39.8521,-75.0739,1840001511
Bel Aire,Bel Aire,KS,Kansas,20173,Sedgwick,37.7749,-97.2457,1840045965
Milton,Milton,WA,Washington,53053,Pierce,47.2522,-122.3156,1840019857
Aurora,Aurora,MO,Missouri,29109,Lawrence,36.9674,-93.7183,1840007636
Firebaugh,Firebaugh,CA,California,6019,Fresno,36.8534,-120.4536,1840020317
Whitefish,Whitefish,MT,Montana,30029,Flathead,48.4329,-114.3591,1840021047
Mahtomedi,Mahtomedi,MN,Minnesota,27163,Washington,45.0619,-92.966,1840008913
Haledon,Haledon,NJ,New Jersey,34031,Passaic,40.9363,-74.1887,1840003512
West Vero Corridor,West Vero Corridor,FL,Florida,12061,Indian River,27.6378,-80.4855,1840073271
Floris,Floris,VA,Virginia,51059,Fairfax,38.9347,-77.4083,1840024569
Savannah,Savannah,TN,Tennessee,47071,Hardin,35.221,-88.236,1840015453
Dormont,Dormont,PA,Pennsylvania,42003,Allegheny,40.3941,-80.0377,1840001222
Mount Joy,Mount Joy,PA,Pennsylvania,42071,Lancaster,40.1105,-76.5065,1840003723
McRae-Helena,McRae-Helena,GA,Georgia,13271,Telfair,32.0635,-82.8968,1840043457
Trinidad,Trinidad,CO,Colorado,8071,Las Animas,37.175,-104.4908,1840021545
